Object ID,Medium,Image file,Width,Height,Product size,Aspect ratio,Split
205,silver,205.jpg,3286,4000,13144000,0.8215,train
364,silver,364.jpg,4000,2919,11676000,1.370332305584104,train
376,silver,376.jpg,2000,2000,4000000,1.0,train
377,silver,377.jpg,2000,2000,4000000,1.0,train
378,silver,378.jpg,2000,2000,4000000,1.0,train
384,silver,384.jpg,2000,2000,4000000,1.0,train
385,silver,385.jpg,2000,2000,4000000,1.0,train
387,silver,387.jpg,2000,2000,4000000,1.0,train
388,silver,388.jpg,2000,2000,4000000,1.0,train
389,silver,389.jpg,2000,2000,4000000,1.0,train
394,silver,394.jpg,2000,2000,4000000,1.0,train
395,silver,395.jpg,2000,2000,4000000,1.0,train
398,silver,398.jpg,2000,2000,4000000,1.0,train
399,silver,399.jpg,3131,4000,12524000,0.78275,train
400,silver,400.jpg,2000,2000,4000000,1.0,train
401,silver,401.jpg,2000,2000,4000000,1.0,train
402,silver,402.jpg,2000,2000,4000000,1.0,train
403,silver,403.jpg,2000,2000,4000000,1.0,train
404,silver,404.jpg,2000,2000,4000000,1.0,train
405,silver,405.jpg,2000,2000,4000000,1.0,train
406,silver,406.jpg,2000,2000,4000000,1.0,train
407,silver,407.jpg,2000,2000,4000000,1.0,train
408,silver,408.jpg,2000,2000,4000000,1.0,train
415,silver,415.jpg,2000,2000,4000000,1.0,train
419,silver,419.jpg,2000,2000,4000000,1.0,train
420,silver,420.jpg,2000,2000,4000000,1.0,train
421,silver,421.jpg,2000,2000,4000000,1.0,train
422,silver,422.jpg,2000,2000,4000000,1.0,train
423,silver,423.jpg,2000,2000,4000000,1.0,train
424,silver,424.jpg,2000,2000,4000000,1.0,train
425,silver,425.jpg,1896,1896,3594816,1.0,train
426,silver,426.jpg,1896,1896,3594816,1.0,train
427,silver,427.jpg,2000,2000,4000000,1.0,train
428,silver,428.jpg,2000,2000,4000000,1.0,train
429,silver,429.jpg,2000,2000,4000000,1.0,train
430,silver,430.jpg,2000,2000,4000000,1.0,train
431,silver,431.jpg,2000,2000,4000000,1.0,train
506,silver,506.jpg,2198,1456,3200288,1.5096153846153846,train
549,silver,549.jpg,2314,1742,4030988,1.3283582089552242,train
688,silver,688.jpg,2000,2000,4000000,1.0,train
744,silver,744.jpg,2000,2000,4000000,1.0,train
781,silver,781.jpg,2000,2000,4000000,1.0,train
783,silver,783.jpg,2000,2000,4000000,1.0,train
787,silver,787.jpg,2000,2000,4000000,1.0,train
795,silver,795.jpg,2000,2000,4000000,1.0,train
799,silver,799.jpg,2000,2000,4000000,1.0,train
801,silver,801.jpg,2000,2000,4000000,1.0,train
802,silver,802.jpg,1896,1896,3594816,1.0,train
803,silver,803.jpg,2000,2000,4000000,1.0,train
806,silver,806.jpg,3927,2931,11510037,1.3398157625383829,train
822,silver,822.jpg,1730,2000,3460000,0.865,train
916,silver,916.jpg,2000,1500,3000000,1.3333333333333333,train
970,silver,970.jpg,2441,3663,8941383,0.6663936663936664,train
1050,silver,1050.jpg,1476,996,1470096,1.4819277108433735,train
1222,silver,1222.jpg,1652,2236,3693872,0.7388193202146691,train
1223,silver,1223.jpg,2000,1994,3988000,1.0030090270812435,train
1224,silver,1224.jpg,2000,1994,3988000,1.0030090270812435,train
